Symbol,Holder,Shares,Date Reported,% Out,Value
AAPL,"Vanguard Group, Inc. (The)",1278250538,2022-12-30,0.0808,215270177785
AAPL,Blackrock Inc.,1029208322,2022-12-30,0.065,173328977277
AAPL,"Berkshire Hathaway, Inc",895136175,2022-12-30,0.056600000000000004,150749886509
AAPL,State Street Corporation,586857405,2022-12-30,0.0371,98832657725
AAPL,"FMR, LLC",321162411,2022-12-30,0.0203,54086962812
AAPL,"Geode Capital Management, LLC",282749817,2022-12-30,0.0179,47617897716
AAPL,Price (T.Rowe) Associates Inc,226281368,2022-12-30,0.0143,38108046013
AAPL,Morgan Stanley,208655323,2022-12-30,0.0132,35139643710
AAPL,Northern Trust Corporation,174276229,2022-12-30,0.011000000000000001,29349860364
AAPL,Norges Bank Investment Management,167374278,2022-12-30,0.0106,28187502770
