Symbol,Holder,Shares,Date Reported,% Out,Value
AMD,"Vanguard Group, Inc. (The)",136198548,2022-12-30,0.08460000000000001,11909201369
AMD,Blackrock Inc.,120838294,2022-12-30,0.0751,10566100722
AMD,State Street Corporation,63933172,2022-12-30,0.0397,5590316715
AMD,Price (T.Rowe) Associates Inc,50873006,2022-12-30,0.0316,4448335768
AMD,"FMR, LLC",44598999,2022-12-30,0.0277,3899736581
AMD,JP Morgan Chase & Company,40874518,2022-12-30,0.0254,3574067953
AMD,"Geode Capital Management, LLC",29113322,2022-12-30,0.0181,2545668946
AMD,"Fisher Asset Management, LLC",25885044,2022-12-30,0.0161,2263388310
AMD,Norges Bank Investment Management,19331023,2022-12-30,0.012,1690304698
AMD,Janus Henderson Group PLC,18498463,2022-12-30,0.0115,1617505649
