Symbol,Holder,Shares,Date Reported,% Out,Value
AMZN,"Vanguard Group, Inc. (The)",712070069,2022-12-30,0.0695,74019681499
AMZN,Blackrock Inc.,594720496,2022-12-30,0.057999999999999996,61821193744
AMZN,State Street Corporation,336270158,2022-12-30,0.032799999999999996,34955281897
AMZN,"FMR, LLC",298115464,2022-12-30,0.0291,30989101573
AMZN,Price (T.Rowe) Associates Inc,218514089,2022-12-30,0.0213,22714538884
AMZN,"Geode Capital Management, LLC",161534790,2022-12-30,0.0158,16791540927
AMZN,Morgan Stanley,141086384,2022-12-30,0.0138,14665929186
AMZN,JP Morgan Chase & Company,114501258,2022-12-30,0.011200000000000002,11902405419
AMZN,Norges Bank Investment Management,98376088,2022-12-30,0.0096,10226194047
AMZN,Northern Trust Corporation,94364074,2022-12-30,0.0092,9809145204
