Symbol,Holder,Shares,Date Reported,% Out,Value
BLK,"Vanguard Group, Inc. (The)",13580827,2022-12-30,0.0904,8999742336
BLK,Blackrock Inc.,10455014,2022-12-30,0.0696,6928328600
BLK,State Street Corporation,6319916,2022-12-30,0.0421,4188081888
BLK,Bank of America Corporation,5184415,2022-12-30,0.0345,3435608094
BLK,Temasek Holdings (Private) Limited,5092825,2022-12-30,0.0339,3374913233
BLK,"Charles Schwab Investment Management, Inc.",3335602,2022-12-30,0.0222,2210436708
BLK,Morgan Stanley,3174621,2022-12-30,0.021099999999999997,2103757821
BLK,JP Morgan Chase & Company,3015533,2022-12-30,0.020099999999999996,1998333386
BLK,Wells Fargo & Company,2709437,2022-12-30,0.018000000000000002,1795489691
BLK,Capital International Investors,2652705,2022-12-30,0.0177,1757894529
