Symbol,Holder,Shares,Date Reported,% Out,Value
DFS,"Vanguard Group, Inc. (The)",35852497,2022-12-30,0.1382,3656596092
DFS,Blackrock Inc.,20286763,2022-12-30,0.0782,2069046915
DFS,Capital World Investors,18919487,2022-12-30,0.0729,1929598438
DFS,State Street Corporation,11707461,2022-12-30,0.0451,1194043922
DFS,"FMR, LLC",6975205,2022-12-30,0.0269,711401143
DFS,"Geode Capital Management, LLC",5662234,2022-12-30,0.0218,577491233
DFS,Macquarie Group Limited,5121356,2022-12-30,0.0197,522327087
DFS,Morgan Stanley,4927342,2022-12-30,0.019,502539600
DFS,Boston Partners,4125040,2022-12-30,0.0159,420712820
DFS,Norges Bank Investment Management,3482290,2022-12-30,0.0134,355158749
