Symbol,Holder,Shares,Date Reported,% Out,Value
DIS,"Vanguard Group, Inc. (The)",146328509,2022-12-30,0.0801,14622607949
DIS,Blackrock Inc.,120624054,2022-12-30,0.066,12053961753
DIS,State Street Corporation,70656571,2022-12-30,0.0387,7060711161
DIS,Morgan Stanley,46172567,2022-12-30,0.0253,4614024634
DIS,State Farm Mutual Automobile Insurance Co,33996592,2022-12-30,0.018600000000000002,3397279448
DIS,"Geode Capital Management, LLC",31823656,2022-12-30,0.0174,3180137953
DIS,Price (T.Rowe) Associates Inc,27147543,2022-12-30,0.0149,2712853980
DIS,Northern Trust Corporation,23641913,2022-12-30,0.0129,2362536373
DIS,Bank Of New York Mellon Corporation,21471837,2022-12-30,0.0118,2145680677
DIS,Norges Bank Investment Management,16494876,2022-12-30,0.009000000000000001,1648332963
