Symbol,Holder,Shares,Date Reported,% Out,Value
DKNG,"Vanguard Group, Inc. (The)",35263897,2022-12-30,0.0764,640392364
DKNG,"ARK Investment Management, LLC",25032084,2022-12-30,0.0542,454582641
DKNG,Blackrock Inc.,15344190,2022-12-30,0.0332,278650488
DKNG,"Sumitomo Mitsui Trust Holdings, Inc.",13991943,2022-12-30,0.030299999999999997,254093682
DKNG,"Nikko Asset Management Americas, Inc.",13991943,2022-12-30,0.030299999999999997,254093682
DKNG,Capital Research Global Investors,13994704,2022-12-30,0.030299999999999997,254143822
DKNG,Raine Capital Llc,11218011,2022-12-30,0.024300000000000002,203719078
DKNG,"Wellington Management Group, LLP",8096275,2022-12-30,0.0175,147028352
DKNG,"Redpoint Management, Llc",6892688,2022-12-30,0.0149,125171213
DKNG,"Atlas Venture Advisors, Inc.",6555608,2022-12-30,0.014199999999999999,119049840
