Symbol,Holder,Shares,Date Reported,% Out,Value
EA,Blackrock Inc.,24801718,2022-12-30,0.0904,3137665397
EA,"Vanguard Group, Inc. (The)",21903490,2022-12-30,0.0799,2771010566
EA,Public Investment Fund,16011844,2022-12-30,0.0584,2025658418
EA,State Street Corporation,12640555,2022-12-30,0.0461,1599156640
EA,Massachusetts Financial Services Co.,11111606,2022-12-30,0.0405,1405729298
EA,"Wellington Management Group, LLP",9460006,2022-12-30,0.0345,1196785379
EA,"Ameriprise Financial, Inc.",7493361,2022-12-30,0.0273,947985116
EA,Amundi,6569700,2022-12-30,0.024,831132761
EA,"Geode Capital Management, LLC",5756220,2022-12-30,0.021,728219404
EA,Capital International Investors,5573727,2022-12-30,0.0203,705132214
