Symbol,Holder,Shares,Date Reported,% Out,Value
GOOG,"Vanguard Group, Inc. (The)",422660991,2022-12-30,0.0717,45803772755
GOOG,Blackrock Inc.,364696971,2022-12-30,0.061900000000000004,39522211748
GOOG,State Street Corporation,194690394,2022-12-30,0.033,21098598532
GOOG,Price (T.Rowe) Associates Inc,152030268,2022-12-30,0.0258,16475520560
GOOG,"FMR, LLC",122236108,2022-12-30,0.0207,13246727359
GOOG,"Geode Capital Management, LLC",97481034,2022-12-30,0.0165,10564019922
GOOG,Morgan Stanley,71779112,2022-12-30,0.012199999999999999,7778702564
GOOG,JP Morgan Chase & Company,70597306,2022-12-30,0.012,7650630245
GOOG,Capital International Investors,70652061,2022-12-30,0.012,7656564044
GOOG,Northern Trust Corporation,61078880,2022-12-30,0.0104,6619118393
