Symbol,Holder,Shares,Date Reported,% Out,Value
GS,"Vanguard Group, Inc. (The)",29524710,2022-12-30,0.08800000000000001,10085641116
GS,Blackrock Inc.,23301707,2022-12-30,0.0695,7959863253
GS,State Street Corporation,20714780,2022-12-30,0.061799999999999994,7076168974
GS,Price (T.Rowe) Associates Inc,9141324,2022-12-30,0.0273,3122676334
GS,Massachusetts Financial Services Co.,6840056,2022-12-30,0.0204,2336563171
GS,Dodge & Cox Inc,6143091,2022-12-30,0.0183,2098479923
GS,"Geode Capital Management, LLC",6047547,2022-12-30,0.018000000000000002,2065842092
GS,Morgan Stanley,5936351,2022-12-30,0.0177,2027857537
GS,Capital World Investors,5699278,2022-12-30,0.017,1946873399
GS,Bank Of New York Mellon Corporation,4916199,2022-12-30,0.0147,1679373608
