Symbol,Holder,Shares,Date Reported,% Out,Value
HMC,Dodge & Cox Inc,44339820,2022-12-30,0.0245,1174561821
HMC,"Fisher Asset Management, LLC",8719654,2022-12-30,0.0048,230983632
HMC,"Arrowstreet Capital, Limited Partnership",4047327,2022-12-30,0.0022,107213691
HMC,Mondrian Investment Partners Ltd,2410969,2022-12-30,0.0013,63866568
HMC,Millennium Management Llc,2277025,2022-12-30,0.0013,60318391
HMC,Morgan Stanley,2183936,2022-12-30,0.0012,57852464
HMC,Macquarie Group Limited,1994875,2022-12-30,0.0011,52844238
HMC,Equity Investment Corp,1898715,2022-12-30,0.001,50296959
HMC,"Renaissance Technologies, LLC",1855998,2022-12-30,0.001,49165386
HMC,Bank of America Corporation,1483648,2022-12-30,0.0008,39301835
