Symbol,Holder,Shares,Date Reported,% Out,Value
IBM,"Vanguard Group, Inc. (The)",80144196,2022-12-30,0.08839999999999999,10175908663
IBM,Blackrock Inc.,72340106,2022-12-30,0.0797,9185023347
IBM,State Street Corporation,53447207,2022-12-30,0.058899999999999994,6786191938
IBM,"Charles Schwab Investment Management, Inc.",18701925,2022-12-30,0.0206,2374583440
IBM,Morgan Stanley,16592094,2022-12-30,0.0183,2106698195
IBM,"Geode Capital Management, LLC",15974179,2022-12-30,0.0176,2028241527
IBM,JP Morgan Chase & Company,13854516,2022-12-30,0.015300000000000001,1759107913
IBM,Northern Trust Corporation,10383305,2022-12-30,0.011399999999999999,1318368248
IBM,Bank of America Corporation,9773081,2022-12-30,0.0108,1240888106
IBM,Bank Of New York Mellon Corporation,8352060,2022-12-30,0.0092,1060461068
