Symbol,Holder,Shares,Date Reported,% Out,Value
JPM,"Vanguard Group, Inc. (The)",274622643,2022-12-30,0.09369999999999999,35006148638
JPM,Blackrock Inc.,194926991,2022-12-30,0.0665,24847343780
JPM,State Street Corporation,129737805,2022-12-30,0.0443,16537678161
JPM,Morgan Stanley,59049256,2022-12-30,0.020099999999999996,7527008734
JPM,Bank of America Corporation,55563473,2022-12-30,0.019,7082675971
JPM,Capital World Investors,53067936,2022-12-30,0.0181,6764569866
JPM,"Geode Capital Management, LLC",51248625,2022-12-30,0.0175,6532662291
JPM,"FMR, LLC",44808692,2022-12-30,0.015300000000000001,5711764023
JPM,Capital International Investors,42700392,2022-12-30,0.0146,5443019020
JPM,"Wellington Management Group, LLP",40070126,2022-12-30,0.0137,5107739010
