Symbol,Holder,Shares,Date Reported,% Out,Value
K,Kellogg W K Foundation Trust,55931838,2022-12-30,0.1636,3875517106
K,Blackrock Inc.,31328173,2022-12-30,0.0916,2170729135
K,"Vanguard Group, Inc. (The)",30733548,2022-12-30,0.08990000000000001,2129527569
K,Keybank National Association,20796598,2022-12-30,0.0608,1440996294
K,State Street Corporation,13412175,2022-12-30,0.0392,929329618
K,"Wellington Management Group, LLP",12420599,2022-12-30,0.0363,860623316
K,"Geode Capital Management, LLC",5500376,2022-12-30,0.0161,381121058
K,"Charles Schwab Investment Management, Inc.",5396277,2022-12-30,0.0158,373908038
K,Capital World Investors,4268392,2022-12-30,0.0125,295756885
K,"Beutel, Goodman & Company Ltd",4106917,2022-12-30,0.012,284568282
