Symbol,Holder,Shares,Date Reported,% Out,Value
MANU,Lindsell Train Limited,11018676,2022-12-30,0.20199999999999999,238995088
MANU,"Ariel Investments, LLC",8454466,2022-12-30,0.155,183377372
MANU,Massachusetts Financial Services Co.,3428274,2022-12-30,0.0629,74359264
MANU,Marathon Asset Management LLP,2362700,2022-12-30,0.0433,51246964
MANU,Millennium Management Llc,1505762,2022-12-30,0.0276,32659978
MANU,"Harvey Partners, LLC",1405000,2022-12-30,0.0258,30474450
MANU,Antara Capital Lp,1276000,2022-12-30,0.023399999999999997,27676440
MANU,"Alyeska Investment Group, L.p.",1244157,2022-12-30,0.022799999999999997,26985765
MANU,Senvest Management LLC,1186663,2022-12-30,0.0218,25738721
MANU,"Pinnacle Associates, Ltd.",1114129,2022-12-30,0.0204,24165458
