Symbol,Holder,Shares,Date Reported,% Out,Value
MCD,"Vanguard Group, Inc. (The)",68178100,2022-12-30,0.0932,19286903707
MCD,Blackrock Inc.,51569204,2022-12-30,0.0705,14588412874
MCD,State Street Corporation,34034123,2022-12-30,0.04650000000000001,9627913554
MCD,"Wellington Management Group, LLP",16087317,2022-12-30,0.022000000000000002,4550941341
MCD,JP Morgan Chase & Company,14907411,2022-12-30,0.0204,4217157716
MCD,Bank of America Corporation,13840945,2022-12-30,0.0189,3915465133
MCD,"Geode Capital Management, LLC",13702475,2022-12-30,0.0187,3876293353
MCD,Morgan Stanley,12881224,2022-12-30,0.0176,3643969646
MCD,Northern Trust Corporation,9331730,2022-12-30,0.0128,2639853236
MCD,Norges Bank Investment Management,8884607,2022-12-30,0.0121,2513366604
