Symbol,Holder,Shares,Date Reported,% Out,Value
META,"Vanguard Group, Inc. (The)",180705425,2022-12-30,0.0812,43109085746
META,Blackrock Inc.,151761923,2022-12-30,0.0682,36204323980
META,"FMR, LLC",122495365,2022-12-30,0.055,29222493975
META,State Street Corporation,88310710,2022-12-30,0.0397,21067402761
META,"Geode Capital Management, LLC",45158933,2022-12-30,0.0203,10773114946
META,Capital International Investors,42004162,2022-12-30,0.0189,10020512784
META,Norges Bank Investment Management,35093468,2022-12-30,0.0158,8371897640
META,Price (T.Rowe) Associates Inc,35068736,2022-12-30,0.0158,8365997574
META,Morgan Stanley,33841967,2022-12-30,0.0152,8073339564
META,Capital Research Global Investors,31837160,2022-12-30,0.0143,7595072811
