Symbol,Holder,Shares,Date Reported,% Out,Value
MSFT,"Vanguard Group, Inc. (The)",642664898,2022-12-30,0.0863,195903532227
MSFT,Blackrock Inc.,532042708,2022-12-30,0.07150000000000001,162182571535
MSFT,State Street Corporation,294574683,2022-12-30,0.039599999999999996,89795196663
MSFT,"FMR, LLC",198985661,2022-12-30,0.026699999999999998,60656796370
MSFT,Price (T.Rowe) Associates Inc,168647376,2022-12-30,0.0227,51408777361
MSFT,"Geode Capital Management, LLC",142731177,2022-12-30,0.0192,43508742768
MSFT,Morgan Stanley,119417954,2022-12-30,0.016,36402173314
MSFT,JP Morgan Chase & Company,93021058,2022-12-30,0.0125,28355607861
MSFT,Capital World Investors,91715063,2022-12-30,0.0123,27957501422
MSFT,Norges Bank Investment Management,86316926,2022-12-30,0.0116,26311987393
