Symbol,Holder,Shares,Date Reported,% Out,Value
NFLX,"Vanguard Group, Inc. (The)",35523919,2022-12-30,0.0799,11575469222
NFLX,Blackrock Inc.,27732325,2022-12-30,0.062400000000000004,9036578270
NFLX,"FMR, LLC",23472175,2022-12-30,0.0528,7648408367
NFLX,Capital Research Global Investors,18542172,2022-12-30,0.0417,6041966859
NFLX,State Street Corporation,16132983,2022-12-30,0.0363,5256932609
NFLX,Capital International Investors,14930421,2022-12-30,0.0336,4865077773
NFLX,Price (T.Rowe) Associates Inc,13244508,2022-12-30,0.0298,4315723012
NFLX,Capital World Investors,12168750,2022-12-30,0.0274,3965187261
NFLX,"Geode Capital Management, LLC",8058257,2022-12-30,0.0181,2625783092
NFLX,Baillie Gifford and Company,6950418,2022-12-30,0.015600000000000001,2264793747
