Symbol,Holder,Shares,Date Reported,% Out,Value
NKE,"Vanguard Group, Inc. (The)",109698806,2022-12-30,0.08900000000000001,13789139579
NKE,Blackrock Inc.,85499808,2022-12-30,0.0694,10747325604
NKE,State Street Corporation,55060808,2022-12-30,0.0447,6921143397
NKE,"Wellington Management Group, LLP",32637156,2022-12-30,0.0265,4102490409
NKE,Morgan Stanley,30720119,2022-12-30,0.024900000000000002,3861518864
NKE,"Geode Capital Management, LLC",22362086,2022-12-30,0.0181,2810914141
NKE,Bank Of New York Mellon Corporation,21679746,2022-12-30,0.0176,2725144006
NKE,JP Morgan Chase & Company,21058568,2022-12-30,0.0171,2647061933
NKE,"AllianceBernstein, L.P.",18021446,2022-12-30,0.0146,2265295707
NKE,Capital International Investors,17657624,2022-12-30,0.0143,2219563282
