Symbol,Holder,Shares,Date Reported,% Out,Value
ORCL,"Vanguard Group, Inc. (The)",138247505,2022-12-30,0.0512,12962086364
ORCL,Blackrock Inc.,115512940,2022-12-30,0.042800000000000005,10830493501
ORCL,State Street Corporation,61016282,2022-12-30,0.0226,5720886730
ORCL,JP Morgan Chase & Company,28462539,2022-12-30,0.0105,2668647717
ORCL,"Geode Capital Management, LLC",27617395,2022-12-30,0.0102,2589407014
ORCL,"FMR, LLC",21725513,2022-12-30,0.008,2036984145
ORCL,"Loomis Sayles & Company, LP",21224659,2022-12-30,0.0079,1990024073
ORCL,"First Eagle Investment Management, LLC",20710858,2022-12-30,0.0077,1941850090
ORCL,Morgan Stanley,20502544,2022-12-30,0.0076,1922318569
ORCL,Northern Trust Corporation,19295469,2022-12-30,0.0070999999999999995,1809143214
