Symbol,Holder,Shares,Date Reported,% Out,Value
SBUX,"Vanguard Group, Inc. (The)",105626376,2022-12-30,0.0919,11056969071
SBUX,Blackrock Inc.,76088457,2022-12-30,0.0662,7964939701
SBUX,State Street Corporation,43984541,2022-12-30,0.0383,4604301765
SBUX,Bank of America Corporation,31090415,2022-12-30,0.0271,3254544651
SBUX,Morgan Stanley,26718368,2022-12-30,0.0232,2796878770
SBUX,Capital Research Global Investors,26027872,2022-12-30,0.0226,2724597648
SBUX,"Geode Capital Management, LLC",21175178,2022-12-30,0.0184,2216617639
SBUX,Northern Trust Corporation,15653593,2022-12-30,0.013600000000000001,1638618120
SBUX,Royal Bank of Canada,15303955,2022-12-30,0.013300000000000001,1602018014
SBUX,"Wellington Management Group, LLP",14137574,2022-12-30,0.0123,1479921250
