Symbol,Holder,Shares,Date Reported,% Out,Value
V,"Vanguard Group, Inc. (The)",147356830,2022-12-30,0.0907,33746186828
V,Blackrock Inc.,124903850,2022-12-30,0.07690000000000001,28604230002
V,State Street Corporation,70324953,2022-12-30,0.0433,16105117100
V,Morgan Stanley,51122866,2022-12-30,0.0315,11707647261
V,Price (T.Rowe) Associates Inc,51100136,2022-12-30,0.031400000000000004,11702441864
V,"FMR, LLC",48538399,2022-12-30,0.029900000000000003,11115778488
V,"Geode Capital Management, LLC",32221146,2022-12-30,0.019799999999999998,7378964468
V,Bank of America Corporation,26482036,2022-12-30,0.0163,6064650918
V,"AllianceBernstein, L.P.",26184849,2022-12-30,0.0161,5996592125
V,Massachusetts Financial Services Co.,23231725,2022-12-30,0.0143,5320297214
