Symbol,Holder,Shares,Date Reported,% Out,Value
ZBRA,"Vanguard Group, Inc. (The)",5910264,2022-12-30,0.115,1784663266
ZBRA,Blackrock Inc.,3531733,2022-12-30,0.0687,1066442066
ZBRA,State Street Corporation,2032560,2022-12-30,0.0395,613751800
ZBRA,Apg Asset Management N.V.,1676984,2022-12-30,0.0326,506382074
ZBRA,Kayne Anderson Rudnick Investment Management LLC,1507533,2022-12-30,0.029300000000000003,455214651
ZBRA,"AllianceBernstein, L.P.",1410449,2022-12-30,0.0274,425899167
ZBRA,"Ameriprise Financial, Inc.",1210230,2022-12-30,0.0235,365441040
ZBRA,"Geode Capital Management, LLC",1090782,2022-12-30,0.0212,329372523
ZBRA,Pictet Asset Management SA,1016489,2022-12-30,0.019799999999999998,306939009
ZBRA,JP Morgan Chase & Company,901970,2022-12-30,0.0175,272358853
