Symbol,Holder,Shares,Date Reported,% Out,Value
ZM,"Vanguard Group, Inc. (The)",20207290,2022-12-30,0.0818,1238504822
ZM,Blackrock Inc.,12732101,2022-12-30,0.051500000000000004,780350481
ZM,"ARK Investment Management, LLC",10867033,2023-03-30,0.044000000000000004,666040462
ZM,Baillie Gifford and Company,8420463,2022-12-30,0.0341,516090184
ZM,"Renaissance Technologies, LLC",7019715,2022-12-30,0.028399999999999998,430238338
ZM,"Sumitomo Mitsui Trust Holdings, Inc.",6423637,2022-12-30,0.026000000000000002,393704717
ZM,"Nikko Asset Management Americas, Inc.",5723003,2022-12-30,0.0232,350762859
ZM,JP Morgan Chase & Company,5540281,2022-12-30,0.022400000000000003,339563827
ZM,"Fisher Asset Management, LLC",4999498,2022-12-30,0.0202,306419236
ZM,State Street Corporation,4954178,2022-12-30,0.02,303641574
